"teams","colors"
"baylor","background-color: #1d3c34; color: #fff; border-bottom: 4px solid #ffb81c;"
"iowa-state","background-color: #c8102e; color: #fff; border-bottom: 4px solid #f1be48;"
"kansas","background-color: #0051ba; border-bottom: 4px solid #e8000d; color: #ffc82d;"
"kansas-state","background-color: #512888; color: #fff; border-bottom: 4px solid #a7a7a7;"
"oklahoma","background-color:#841617; color: white; border-bottom: 4px solid #fdf9d8;"
"oklahoma-state","background-color: #ff7300; color: #fff; border-bottom: 4px solid black;"
"texas","background-color: #bf5700; color: white; border-bottom: 4px solid #333f48;"
"texas-christian","background-color: #4d1979; color: white; border-bottom: 4px solid #a3a9ac;"
"texas-tech","background-color: #cc0000;color: white; border-bottom: 4px solid black;"
"west-virginia","background-color:#002855; border-bottom: 4px solid #eaaa00; color: #fff;"
"arizona","background-color: #cc0033; border-bottom: 4px solid #003366; color: white;"
"arizona-state","background-color: #8c1d40; color: #fff; border-bottom: 4px solid #ffc627;"
"california","background-color: #003262; color: #fdb515; border-bottom: 4px solid #fdb515;"
"colorado","background-color:#cfb87c; color: #000; border-bottom: 4px solid #000;"
"oregon","background-color: #154733; color: white; border-bottom: 4px solid #fee123;"
"oregon-state","background-color: #dc4405; color: white; border-bottom: 4px solid #000;"
"stanford","background-color: #8C1515; color: white; border-bottom: 4px solid #4D4F53;"
"ucla","background-color: #2d68c4; color: white; border-bottom: 4px solid #f2a900;"
"usc","background-color:#9d2235; border-bottom: 4px solid #ffc72c; color: #ffc72c;"
"utah","background-color:#cc0000; border-bottom: 4px solid #808080; color: #fff;"
"washington","background-color:#4b2e83; border-bottom: 4px solid #b7a57a; color: #fff;"
"washington-state","background-color:#981e32; border-bottom: 4px solid #5e6a71; color: #fff;"
"central-florida","background-color: #BA9B37; border-bottom: 4px solid #FFC904;"
"cincinnati","background-color: #e00122; border-bottom: 4px solid #000;"
"connecticut-huskies","background-color: #000e2f; border-bottom: 4px solid #e4002b;"
"east-carolina","background-color: #592a8a; border-bottom: 4px solid #FDC82F;"
"houston","background-color: #c8102e; border-bottom: 4px solid #C8102E;"
"memphis","background-color: #003087; border-bottom: 4px solid #898D8D;"
"navy","background-color: #00205b; border-bottom: 4px solid #C5B783;"
"smu-mustangs","background-color: #0033a0; border-bottom: 4px solid #C8102E;"
"south-florida","background-color: #006747; border-bottom: 4px solid #CFC493;"
"temple","background-color: #9d2235; border-bottom: 4px solid #9D2235;"
"tulane","background-color: #006747; border-bottom: 4px solid #006747;"
"tulsa","background-color: #002d72; border-bottom: 4px solid #c8102e;"
"wichita-state","background-color: #000; border-bottom: 4px solid #ffcd00;"
"byu","background-color: #002255; border-bottom: 4px solid #C5AF7D;"
"gonzaga","background-color: #041E42; border-bottom: 4px solid #C8102E;"
"loyola-marymount","background-color: #B62B3A; border-bottom: 4px solid #00447C;"
"pacific","background-color: #E35205; border-bottom: 4px solid #231F20;"
"pepperdine","background-color: #00205C; border-bottom: 4px solid #EE7624;"
"portland","background-color: #1E1656; border-bottom: 4px solid #5E6A71;"
"saint-maryâ€™s","background-color: #06315B; border-bottom: 4px solid #D80024;"
"san-diego","background-color: #002868; border-bottom: 4px solid #84BCE8;"
"san-francisco","background-color: #00543C; border-bottom: 4px solid #FDBB30;"
"santa-clara","background-color: #862633; border-bottom: 4px solid #862633;"
